"sex","age","nursery"
"""F""","18","""yes"""
"""F""","17","""no"""
"""F""","15","""yes"""
"""F""","15","""yes"""
"""F""","16","""yes"""
"""M""","16","""yes"""
"""M""","16","""yes"""
"""F""","17","""yes"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""F""","15","""yes"""
"""F""","15","""yes"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""F""","16","""yes"""
"""F""","16","""yes"""
"""F""","16","""yes"""
"""M""","17","""yes"""
"""M""","16","""yes"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""M""","16","""yes"""
"""M""","16","""yes"""
"""F""","15","""yes"""
"""F""","16","""no"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""M""","16","""yes"""
"""M""","16","""yes"""
"""M""","15","""no"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""M""","15","""no"""
"""M""","16","""no"""
"""F""","15","""yes"""
"""M""","15","""yes"""
"""M""","16","""yes"""
"""F""","15","""yes"""
"""F""","15","""yes"""
"""F""","16","""no"""
"""M""","15","""no"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""F""","16","""yes"""
"""F""","15","""yes"""
"""F""","16","""yes"""
"""M""","16","""yes"""
"""M""","15","""yes"""
"""F""","15","""no"""
"""F""","16","""yes"""
"""F""","15","""yes"""
"""M""","15","""yes"""
"""F""","15","""yes"""
"""F""","15","""yes"""
"""F""","16","""yes"""
"""F""","15","""yes"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""F""","16","""yes"""
"""F""","16","""yes"""
"""F""","16","""no"""
"""F""","16","""yes"""
"""F""","16","""yes"""
"""F""","15","""yes"""
"""F""","16","""yes"""
"""M""","15","""no"""
"""F""","16","""yes"""
"""F""","15","""yes"""
"""F""","15","""no"""
"""M""","16","""yes"""
"""M""","15","""yes"""
"""F""","15","""no"""
"""M""","16","""yes"""
"""F""","16","""yes"""
"""M""","15","""yes"""
"""M""","15","""yes"""
"""F""","16","""yes"""
"""M""","17","""yes"""
"""F""","16","""yes"""
"""M""","15","""no"""
"""M""","15","""no"""
"""F""","15","""yes"""
"""M""","15","""yes"""
"""F""","15","""no"""
"""F""","15","""yes"""
"""F""","16","""yes"""
"""F""","15","""yes"""
